Size,Time (nanoseconds)
47601,23804000
47701,22368000
47801,19381000
47901,18077000
48001,17487000
48101,16042000
48201,16331000
48301,25976000
48401,20412000
48501,24574000
48601,20559000
48701,16195000
48801,28478000
48901,16547000
49001,24265000
49101,22157000
49201,24195000
49301,24884000
49401,22954000
49501,24081000
49601,21423000
49701,16403000
49801,26985000
49901,18818000
50001,16873000
50101,25317000
50201,22472000
50301,18978000
50401,18352000
50501,22853000
50601,19027000
50701,18314000
50801,23551000
50901,19732000
51001,18833000
51101,24427000
51201,24399000
51301,28632000
51401,25167000
51501,22554000
51601,26596000
51701,23539000
51801,20590000
51901,17089000
52001,24108000
52101,21806000
52201,21846000
52301,15072000
52401,16000000
52501,26470000
52601,23811000
52701,22253000
52801,23811000
52901,23581000
53001,24106000
53101,17315000
53201,26135000
53301,21470000
53401,16071000
53501,18815000
53601,16426000
53701,21315000
53801,21851000
53901,16944000
54001,17036000
54101,22110000
54201,19567000
54301,16871000
54401,28362000
54501,21328000
54601,26423000
54701,19798000
54801,27105000
54901,20820000
55001,24520000
55101,20721000
55201,28875000
55301,16947000
55401,27155000
55501,23943000
55601,24609000
55701,24095000
55801,26183000
55901,24161000
56001,25153000
56101,23747000
56201,23543000
56301,28437000
56401,23866000
56501,20979000
56601,26184000
56701,24491000
56801,24543000
56901,32082000
57001,24095000
57101,27535000
57201,18552000
57301,23621000
57401,24720000
57501,24745000
57601,25458000
57701,22614000
57801,27303000
57901,18262000
58001,24132000
58101,28744000
58201,17057000
58301,24911000
58401,31462000
58501,24382000
58601,26708000
58701,24297000
58801,23386000
58901,22802000
59001,27750000
59101,30470000
59201,16316000
59301,22847000
59401,18359000
59501,16000000
59601,25296000
59701,22936000
59801,24952000
59901,22807000
60001,48169000
60101,27868000
60201,27508000
60301,31721000
60401,23018000
60501,24200000
60601,25568000
60701,28946000
60801,20723000
60901,25422000
61001,25025000
61101,24151000
61201,27702000
61301,21397000
61401,30253000
61501,24053000
61601,21333000
61701,28474000
61801,30018000
61901,30023000
62001,24004000
62101,21834000
62201,23942000
62301,34214000
62401,28072000
62501,32564000
62601,32512000
62701,27550000
62801,30032000
62901,20505000
63001,32868000
63101,23298000
63201,24600000
63301,24354000
63401,22675000
63501,29338000
63601,28545000
63701,32050000
63801,28395000
63901,24517000
64001,24101000
64101,24034000
64201,32436000
64301,33194000
64401,33948000
64501,33167000
64601,30750000
64701,32759000
64801,35272000
64901,29985000
65001,28481000
65101,32911000
65201,29639000
65301,30203000
65401,32594000
65501,32156000
65601,22236000
65701,32087000
65801,34051000
65901,23029000
66001,34481000
66101,35072000
66201,34346000
66301,28599000
66401,27966000
66501,24757000
66601,29921000
66701,25474000
66801,25378000
66901,23725000
67001,24522000
67101,35965000
67201,29096000
67301,34895000
67401,22727000
67501,29457000
67601,34544000
67701,24839000
67801,28703000
67901,21543000
68001,24627000
68101,24766000
68201,27933000
68301,32450000
68401,48860000
68501,32388000
68601,31997000
68701,29224000
68801,29660000
68901,36188000
69001,34316000
69101,28770000
69201,35245000
69301,24810000
69401,31674000
69501,30495000
69601,31620000
69701,30065000
69801,34222000
69901,30090000
70001,32765000
70101,32981000
70201,32548000
70301,26918000
70401,22999000
70501,24711000
70601,33223000
70701,30209000
70801,32933000
70901,36344000
71001,32238000
71101,24931000
71201,27685000
71301,24783000
71401,27416000
71501,32427000
71601,34057000
71701,26893000
71801,24463000
71901,31730000
72001,32891000
72101,41086000
72201,38106000
72301,35522000
72401,29158000
72501,32528000
72601,31615000
72701,32818000
72801,28963000
72901,26757000
73001,25556000
73101,28202000
73201,27077000
73301,32492000
73401,33923000
73501,34391000
73601,36485000
73701,41473000
73801,33490000
73901,33350000
74001,31843000
74101,38537000
74201,25034000
74301,32003000
74401,33981000
74501,31614000
74601,33326000
74701,26001000
74801,32899000
74901,33627000
75001,34286000
75101,35034000
75201,35782000
75301,32672000
75401,41086000
75501,26818000
75601,29395000
75701,33365000
75801,33135000
75901,28046000
76001,32971000
76101,34559000
76201,34504000
76301,33489000
76401,32752000
76501,32845000
76601,33353000
76701,32840000
76801,32896000
76901,27059000
77001,39410000
77101,33635000
77201,36773000
77301,32976000
77401,34921000
77501,34764000
77601,30070000
77701,29180000
77801,33374000
77901,40282000
78001,32272000
78101,32896000
78201,37367000
78301,32981000
78401,32681000
78501,25152000
78601,33509000
78701,34765000
78801,39764000
78901,34894000
79001,32021000
79101,40154000
79201,36974000
79301,43554000
79401,36266000
79501,43677000
79601,33848000
79701,39502000
79801,38950000
79901,41282000
80001,32560000
80101,41859000
80201,34462000
80301,41460000
80401,34620000
80501,33581000
80601,32325000
80701,43043000
80801,44190000
80901,40251000
81001,34617000
81101,32414000
81201,40848000
81301,39318000
81401,42000000
81501,45226000
81601,49081000
81701,33275000
81801,32780000
81901,32358000
82001,48979000
82101,50158000
82201,37161000
82301,34198000
82401,34454000
82501,35086000
82601,36889000
82701,34557000
82801,32318000
82901,48256000
83001,38196000
83101,31435000
83201,48264000
83301,38626000
83401,38972000
83501,40664000
83601,41111000
83701,45176000
83801,33326000
83901,47505000
84001,42701000
84101,43583000
84201,43794000
84301,42519000
84401,39961000
84501,38723000
84601,40520000
84701,39115000
84801,33029000
84901,33416000
85001,33614000
85101,33534000
85201,30816000
85301,38530000
85401,37674000
85501,30699000
85601,31999000
85701,34582000
85801,32960000
85901,44735000
86001,43852000
86101,33703000
86201,40455000
86301,39268000
86401,37707000
86501,36610000
86601,37925000
86701,37041000
86801,40013000
86901,31738000
87001,33400000
87101,35654000
87201,32698000
87301,37596000
87401,35864000
87501,39092000
87601,34774000
87701,38979000
87801,38176000
87901,31172000
88001,41996000
88101,45082000
88201,32018000
88301,43858000
88401,41183000
88501,44003000
88601,32661000
88701,37258000
88801,35885000
88901,36888000
89001,31694000
89101,38894000
89201,46447000
89301,44469000
89401,45167000
89501,29406000
89601,37554000
89701,33731000
89801,34641000
89901,34037000
90001,62265000
90101,48850000
90201,32823000
90301,56685000
90401,46314000
90501,48299000
90601,52328000
90701,50844000
90801,40840000
90901,40783000
91001,39578000
91101,40391000
91201,41568000
91301,32846000
91401,40003000
91501,40510000
91601,39036000
91701,46211000
91801,40585000
91901,48407000
92001,47182000
92101,32008000
92201,48730000
92301,57588000
92401,44852000
92501,71596000
92601,50011000
92701,33728000
92801,32245000
92901,41009000
93001,38044000
93101,46281000
93201,53254000
93301,52989000
93401,51413000
93501,46467000
93601,52466000
93701,49913000
93801,41485000
93901,49544000
94001,57538000
94101,57351000
94201,49558000
94301,48945000
94401,50510000
94501,44153000
94601,52296000
94701,48795000
94801,38704000
94901,53554000
95001,51039000
95101,52793000
95201,51197000
95301,65158000
95401,54619000
95501,65785000
95601,56885000
95701,52264000
95801,48230000
95901,43911000
96001,48114000
96101,45870000
96201,45329000
96301,49810000
96401,46862000
96501,52103000
96601,49822000
96701,47872000
96801,48346000
96901,50478000
97001,44095000
97101,44110000
97201,41066000
97301,37511000
97401,40557000
97501,40465000
97601,44074000
97701,49238000
97801,43508000
97901,43697000
98001,41791000
98101,40853000
98201,52575000
98301,52468000
98401,49256000
98501,47605000
98601,50660000
98701,42307000
98801,46948000
98901,46702000
99001,41517000
99101,44823000
99201,48113000
99301,53075000
99401,50252000
99501,49090000
99601,46787000
99701,49630000
99801,49625000
99901,48522000
