NumItems,ExecutionTimeMicroseconds
53510,53983
53610,51646
53710,46763
53810,52602
53910,54071
54010,60780
54110,61350
54210,53838
54310,57380
54410,59483
54510,46786
54610,46828
54710,47809
54810,48640
54910,51031
55010,48001
55110,52044
55210,49657
55310,50009
55410,49183
55510,50689
55610,50794
55710,43442
55810,49579
55910,51510
56010,48024
56110,53067
56210,51782
56310,54733
56410,51217
56510,50631
56610,52259
56710,50842
56810,49959
56910,49991
57010,54162
57110,55182
57210,94881
57310,53372
57410,49832
57510,46817
57610,49604
57710,56890
57810,55209
57910,49292
58010,53935
58110,57659
58210,60931
58310,56093
58410,52244
58510,55181
58610,54262
58710,54414
58810,55334
58910,58055
59010,52545
59110,57919
59210,52886
59310,55278
59410,55666
59510,55170
59610,60652
59710,72922
59810,61885
59910,84222
60010,59949
60110,60704
60210,61481
60310,58769
60410,56944
60510,57536
60610,58901
60710,55862
60810,57160
60910,44442
61010,57719
61110,60753
61210,56773
61310,58191
61410,57056
61510,57187
61610,57689
61710,55159
61810,54916
61910,61483
62010,58240
62110,54882
62210,57083
62310,43656
62410,63689
62510,60743
62610,61112
62710,53114
62810,63544
62910,69997
63010,57254
63110,62982
63210,61157
63310,60982
63410,60082
63510,61589
63610,49395
63710,57347
63810,66705
63910,60408
64010,62577
64110,63962
64210,71179
64310,57154
64410,60279
64510,59097
64610,56323
64710,57378
64810,60920
64910,60291
65010,73247
65110,58520
65210,55493
65310,61728
65410,61661
65510,64524
65610,63888
65710,62004
65810,59026
65910,67622
66010,64232
66110,58820
66210,52984
66310,57913
66410,57448
66510,72134
66610,47412
66710,61587
66810,68255
66910,60479
67010,74458
67110,75687
67210,65949
67310,68213
67410,75856
67510,98406
67610,68267
67710,59124
67810,64756
67910,61580
68010,58634
68110,60048
68210,68804
68310,71392
68410,64073
68510,65913
68610,61878
68710,66944
68810,64211
68910,64229
69010,67409
69110,61926
69210,75096
69310,54390
69410,60665
69510,63744
69610,62994
69710,64221
69810,66674
69910,78526
70010,62762
70110,71128
70210,69760
70310,71858
70410,60991
70510,64267
70610,62634
70710,64222
70810,70906
70910,59758
71010,60633
71110,69326
71210,61157
71310,57210
71410,79881
71510,81512
71610,76537
71710,80474
71810,69211
71910,63728
72010,59700
72110,62921
72210,74843
72310,65041
72410,66912
72510,64407
72610,62513
72710,54951
72810,65815
72910,54730
73010,65546
73110,69360
73210,67043
73310,64796
73410,60804
73510,78977
73610,65354
73710,64871
73810,64058
73910,71782
74010,65510
74110,61667
74210,63678
74310,55466
74410,65492
74510,70620
74610,69958
74710,82078
74810,67298
74910,67904
75010,57022
75110,73540
75210,73466
75310,72178
75410,67706
75510,77351
75610,68974
75710,65323
75810,78843
75910,76178
76010,74886
76110,76186
76210,79966
76310,71757
76410,70268
76510,69762
76610,65532
76710,69231
76810,55880
76910,63976
77010,65886
77110,67785
77210,67002
77310,78298
77410,67718
77510,67404
77610,63890
77710,66711
77810,75201
77910,63341
78010,70381
78110,59824
78210,61585
78310,83356
78410,67879
78510,71617
78610,74086
78710,68207
78810,70049
78910,66321
79010,83116
79110,79999
79210,69338
79310,65807
79410,74913
79510,73342
79610,72857
79710,68645
79810,74199
79910,71893
80010,76186
80110,73636
80210,80249
80310,73064
80410,78771
80510,82574
80610,75467
80710,81709
80810,76244
80910,73893
81010,76706
81110,74658
81210,86260
81310,82225
81410,72232
81510,72537
81610,70418
81710,72916
81810,74599
81910,69905
82010,76032
82110,74419
82210,80194
82310,78853
82410,77403
82510,75685
82610,78844
82710,69260
82810,65674
82910,67572
83010,68149
83110,76091
83210,70230
83310,65396
83410,78503
83510,79866
83610,81270
83710,85546
83810,86428
83910,79566
84010,80284
84110,79301
84210,74084
84310,76928
84410,87181
84510,83042
84610,76171
84710,70602
84810,81992
84910,68601
85010,85369
85110,80739
85210,79370
85310,83104
85410,79311
85510,77563
85610,79652
85710,80794
85810,79919
85910,78127
86010,73131
86110,67495
86210,101892
86310,97174
86410,85605
86510,67670
86610,75590
86710,79075
86810,73186
86910,81012
87010,82223
87110,80559
87210,77651
87310,72785
87410,96464
87510,92300
87610,86911
87710,80469
87810,77342
87910,80048
88010,82195
88110,89285
88210,96947
88310,85515
88410,85541
88510,80055
88610,85145
88710,83032
88810,82824
88910,83483
89010,80634
89110,77691
89210,72426
89310,83037
89410,70139
89510,77270
89610,76951
89710,85115
89810,83172
89910,84025
90010,83148
90110,79603
90210,79380
90310,87800
90410,79108
90510,83486
90610,82973
90710,78835
90810,70639
90910,85875
91010,79759
91110,89218
91210,81306
91310,77141
91410,91422
91510,85239
91610,87766
91710,81470
91810,72411
91910,76712
92010,92858
92110,86750
92210,85769
92310,95237
92410,75384
92510,77646
92610,82587
92710,80682
92810,75208
92910,85870
93010,65148
93110,81664
93210,80119
93310,85370
93410,81453
93510,77185
93610,94989
93710,82925
93810,83958
93910,92654
94010,92810
94110,75146
94210,81719
94310,81695
94410,76160
94510,96755
94610,81728
94710,88217
94810,83711
94910,83691
95010,87467
95110,78218
95210,73941
95310,85598
95410,85580
95510,77616
95610,83113
95710,85002
95810,84746
95910,79603
96010,87920
96110,83293
96210,78993
96310,78474
96410,80814
96510,85700
96610,99482
96710,77909
96810,81992
96910,84810
97010,97148
97110,87367
97210,93124
97310,79074
97410,87672
97510,84981
97610,88961
97710,95960
97810,85633
97910,85266
98010,95776
98110,83174
98210,87799
98310,88428
98410,95607
98510,105538
98610,83223
98710,87176
98810,94826
98910,87653
99010,93174
99110,94596
99210,102016
99310,90182
99410,91219
99510,87533
99610,89663
99710,90516
99810,95737
99910,86721
100010,102847
100110,102820
100210,85209
100310,94047
100410,96489
100510,96528
100610,92567
100710,83089
100810,91246
100910,95899
101010,91235
101110,97791
101210,102567
101310,83477
101410,102035
101510,86370
101610,92615
101710,95710
101810,93835
101910,94935
102010,105364
102110,106933
102210,88907
102310,100527
102410,89796
102510,109165
102610,86929
102710,93467
102810,101015
102910,80907
103010,92999
103110,86446
103210,96950
103310,92904
103410,92965
103510,102749
103610,105668
103710,96701
103810,89181
103910,96073
104010,98733
104110,89504
104210,94786
104310,92709
104410,99539
104510,80856
104610,98741
104710,103855
104810,100476
104910,103918
105010,98745
105110,96698
105210,92465
105310,96530
105410,105460
105510,90396
105610,80379
105710,97161
105810,89239
105910,109124
106010,118148
106110,126904
106210,102758
106310,84293
106410,115137
106510,100189
106610,106611
106710,120572
106810,124536
